 ,driverId,pitStopLapNumber,tyre,age
1109,bot,0,medium,used
1109,bot,9,hard,used
1109,bot,40,hard,used
1109,ricciardo,0,medium,used
1109,ricciardo,18,hard,used
1109,ricciardo,29,medium,used
1109,hulkenberg,0,medium,used
1109,hulkenberg,16,hard,used
1109,hulkenberg,38,hard,used
1109,tsunoda,0,soft,new
1109,tsunoda,9,hard,used
1109,tsunoda,44,medium,new
1109,zhou,0,medium,used
1109,zhou,10,hard,used
1109,zhou,38,hard,used
1109,magnussen,0,medium,new
1109,magnussen,14,hard,used
1109,magnussen,41,hard,used
1109,sargeant,0,medium,new
1109,sargeant,13,hard,used
1109,sargeant,34,hard,new
1109,ocon,0,medium,used
1109,ocon,2,dnf,dnf
1109,gasly,0,soft,new
1109,gasly,1,dnf,dnf
1108,verstappen,0,medium,new
1108,verstappen,33,soft,used
1108,norris,0,medium,new
1108,norris,33,hard,new
1108,ham,0,medium,new
1108,ham,33,soft,used
1108,piastri,0,medium,new
1108,piastri,29,hard,new
1108,russell,0,soft,used
1108,russell,28,medium,new
1108,perez,0,medium,new
1108,perez,28,soft,new
1108,alonso,0,medium,used
1108,alonso,33,soft,used
1108,albon,0,medium,new
1108,albon,32,soft,used
1108,leclerc,0,medium,new
1108,leclerc,18,hard,new
1108,leclerc,32,medium,new
1108,sainz,0,medium,new
1108,sainz,26,hard,new
1108,sargeant,0,medium,new
1108,sargeant,29,soft,new
1108,bot,0,hard,new
1108,bot,32,soft,new
1108,hulkenberg,0,hard,new
1108,hulkenberg,7,medium,new
1108,hulkenberg,32,soft,new
1108,stroll,0,medium,used
1108,stroll,31,soft,used
1108,zhou,0,medium,new
1108,zhou,24,hard,new
1108,zhou,33,soft,new
1108,tsunoda,0,soft,new
1108,tsunoda,14,hard,new
1108,tsunoda,32,soft,new
1108,devries,0,soft,new
1108,devries,27,medium,new
1108,devries,32,soft,new
1108,gasly,0,medium,new
1108,gasly,31,soft,used
1108,gasly,46,dnf,dnf
1108,magnussen,0,medium,new
1108,magnussen,31,dnf,dnf
1108,ocon,0,soft,new
1108,ocon,9,dnf,dnf
1107,verstappen,0,medium,new
1107,verstappen,24,hard,new
1107,verstappen,49,medium,new
1107,verstappen,69,soft,used
1107,leclerc,0,medium,new
1107,leclerc,15,medium,new
1107,leclerc,47,hard,new
1107,perez,0,medium,new
1107,perez,25,medium,new
1107,perez,50,hard,new
1107,sainz,0,medium,new
1107,sainz,15,medium,new
1107,sainz,45,hard,new
1107,norris,0,medium,new
1107,norris,14,hard,new
1107,norris,41,hard,new
1107,alonso,0,hard,new
1107,alonso,15,medium,used
1107,alonso,44,medium,new
1107,ham,0,medium,new
1107,ham,14,hard,new
1107,ham,42,medium,new
1107,russell,0,medium,new
1107,russell,14,hard,new
1107,russell,41,medium,new
1107,gasly,0,medium,new
1107,gasly,14,hard,new
1107,gasly,44,medium,new
1107,stroll,0,medium,new
1107,stroll,15,hard,used
1107,stroll,36,hard,new
1107,stroll,54,medium,new
1107,albon,0,medium,new
1107,albon,14,hard,new
1107,albon,41,hard,new
1107,ocon,0,medium,new
1107,ocon,14,hard,new
1107,ocon,40,hard,new
1107,sargeant,0,medium,new
1107,sargeant,14,hard,new
1107,sargeant,43,hard,new
1107,zhou,0,medium,new
1107,zhou,8,hard,new
1107,zhou,38,hard,new
1107,devries,0,medium,new
1107,devries,12,hard,new
1107,devries,37,medium,new
1107,bot,0,hard,new
1107,bot,21,medium,new
1107,bot,40,hard,new
1107,piastri,0,medium,new
1107,piastri,14,hard,new
1107,piastri,22,hard,new
1107,piastri,41,medium,new
1107,tsunoda,0,medium,new
1107,tsunoda,1,hard,new
1107,tsunoda,23,hard,new
1107,tsunoda,43,medium,new
1107,magnussen,0,hard,new
1107,magnussen,15,medium,new
1107,magnussen,36,hard,new
1107,magnussen,54,hard,used
1107,hulkenberg,0,medium,used
1107,hulkenberg,11,hard,new
1107,hulkenberg,12,dnf,dnf
1106,verstappen,0,medium,new
1106,verstappen,12,hard,new
1106,verstappen,42,medium,new
1106,alonso,0,medium,new
1106,alonso,12,hard,new
1106,alonso,41,hard,new
1106,ham,0,medium,new
1106,ham,12,hard,new
1106,ham,40,medium,new
1106,leclerc,0,medium,new
1106,leclerc,39,hard,new
1106,sainz,0,medium,new
1106,sainz,38,hard,new
1106,perez,0,hard,new
1106,perez,37,medium,new
1106,perez,68,soft,new
1106,albon,0,medium,used
1106,albon,12,hard,new
1106,ocon,0,medium,new
1106,ocon,12,hard,new
1106,ocon,36,hard,new
1106,stroll,0,medium,new
1106,stroll,11,hard,used
1106,stroll,27,hard,new
1106,bot,0,hard,new
1106,bot,36,medium,new
1106,piastri,0,medium,new
1106,piastri,12,hard,new
1106,piastri,37,hard,used
1106,gasly,0,soft,new
1106,gasly,10,hard,used
1106,gasly,33,hard,new
1106,norris,0,medium,new
1106,norris,12,hard,new
1106,norris,35,hard,used
1106,tsunoda,0,medium,new
1106,tsunoda,1,hard,new
1106,tsunoda,34,hard,new
1106,hulkenberg,0,medium,new
1106,hulkenberg,7,hard,new
1106,hulkenberg,31,hard,new
1106,zhou,0,medium,new
1106,zhou,12,hard,new
1106,zhou,32,hard,new
1106,magnussen,0,hard,new
1106,magnussen,35,medium,new
1106,magnussen,53,medium,new
1106,devries,0,medium,new
1106,devries,11,hard,new
1106,devries,50,hard,new
1106,russell,0,medium,new
1106,russell,12,hard,new
1106,russell,53,dnf,dnf
1106,sargeant,0,medium,new
1106,sargeant,6,dnf,dnf
1105,verstappen,0,medium,new
1105,verstappen,26,hard,new
1105,verstappen,52,soft,used
1105,ham,0,soft,used
1105,ham,24,medium,new
1105,ham,50,soft,used
1105,russell,0,soft,new
1105,russell,25,medium,new
1105,russell,45,soft,used
1105,perez,0,medium,new
1105,perez,27,hard,new
1105,perez,50,soft,new
1105,sainz,0,soft,used
1105,sainz,15,medium,new
1105,sainz,41,hard,new
1105,stroll,0,soft,used
1105,stroll,14,soft,used
1105,stroll,34,hard,used
1105,alonso,0,soft,used
1105,alonso,19,soft,used
1105,alonso,44,hard,used
1105,ocon,0,soft,used
1105,ocon,13,medium,new
1105,ocon,35,hard,new
1105,zhou,0,soft,new
1105,zhou,9,hard,new
1105,zhou,36,hard,new
1105,gasly,0,soft,used
1105,gasly,19,medium,new
1105,gasly,39,hard,new
1105,leclerc,0,hard,new
1105,leclerc,16,soft,new
1105,leclerc,41,hard,new
1105,tsunoda,0,soft,new
1105,tsunoda,10,hard,new
1105,tsunoda,34,medium,new
1105,piastri,0,soft,used
1105,piastri,17,hard,new
1105,piastri,39,medium,new
1105,devries,0,soft,new
1105,devries,9,hard,new
1105,devries,38,medium,new
1105,hulkenberg,0,soft,used
1105,hulkenberg,8,medium,new
1105,hulkenberg,26,hard,new
1105,hulkenberg,43,medium,new
1105,albon,0,soft,new
1105,albon,16,medium,new
1105,albon,37,hard,new
1105,norris,0,soft,used
1105,norris,1,hard,new
1105,norris,22,medium,new
1105,norris,50,soft,used
1105,magnussen,0,soft,new
1105,magnussen,10,medium,new
1105,magnussen,24,hard,new
1105,magnussen,42,medium,new
1105,bot,0,soft,new
1105,bot,5,hard,new
1105,bot,39,hard,new
1105,sargeant,0,medium,new
1105,sargeant,7,hard,new
1105,sargeant,36,hard,new
1104,verstappen,0,medium,new
1104,verstappen,55,inter,new
1104,alonso,0,hard,used
1104,alonso,54,medium,new
1104,alonso,55,inter,new
1104,ocon,0,medium,new
1104,ocon,32,hard,new
1104,ocon,54,inter,new
1104,ham,0,medium,new
1104,ham,31,hard,new
1104,ham,54,inter,new
1104,russell,0,hard,new
1104,ocon,54,inter,new
1104,leclerc,0,hard,new
1104,leclerc,44,medium,new
1104,leclerc,55,inter,new
1104,gasly,0,hard,new
1104,gasly,47,medium,new
1104,gasly,54,inter,new
1104,sainz,0,hard,new
1104,sainz,33,medium,new
1104,sainz,55,inter,new
1104,norris,0,medium,new
1104,norris,50,hard,new
1104,norris,54,inter,new
1104,piastri,0,hard,new
1104,piastri,54,inter,new
1104,bot,0,hard,new
1104,bot,51,inter,new
1104,devries,0,medium,new
1104,devries,53,inter,new
1104,zhou,0,soft,new
1104,zhou,1,hard,new
1104,zhou,52,inter,new
1104,albon,0,medium,new
1104,albon,18,hard,new
1104,albon,52,inter,new
1104,tsunoda,0,medium,new
1104,tsunoda,53,inter,new
1104,perez,0,medium,new
1104,perez,1,hard,new
1104,perez,34,medium,used
1104,perez,53,inter,new
1104,perez,57,wet,new
1104,perez,70,inter,new
1104,hulkenberg,0,medium,new
1104,hulkenberg,1,hard,new
1104,hulkenberg,54,inter,new
1104,hulkenberg,59,wet,new
1104,sargeant,0,medium,new
1104,sargeant,20,hard,new
1104,sargeant,23,soft,new
1104,sargeant,52,inter,new
1104,magnussen,0,hard,new
1104,magnussen,56,wet,new
1104,magnussen,70,dnf,dnf
1104,stroll,0,hard,used
1104,stroll,51,inter,new
1104,stroll,53,dnf,dnf
1102,verstappen,0,hard,new
1102,verstappen,45,medium,new
1102,perez,0,medium,new
1102,perez,20,hard,new
1102,alonso,0,medium,used
1102,alonso,24,hard,used
1102,russell,0,medium,new
1102,russell,17,hard,new
1102,sainz,0,medium,new
1102,sainz,18,hard,new
1102,ham,0,hard,used
1102,ham,37,medium,new
1102,leclerc,0,medium,new
1102,leclerc,17,hard,new
1102,gasly,0,medium,new
1102,gasly,15,hard,new
1102,ocon,0,hard,new
1102,ocon,39,medium,new
1102,magnussen,0,medium,new
1102,magnussen,14,hard,new
1102,tsunoda,0,hard,new
1102,tsunoda,36,medium,new
1102,stroll,0,hard,used
1102,stroll,42,medium,used
1102,bot,0,medium,new
1102,bot,15,hard,new
1102,albon,0,medium,new
1102,albon,22,hard,new
1102,hulkenberg,0,hard,new
1102,hulkenberg,33,medium,new
1102,zhou,0,hard,new
1102,zhou,31,medium,new
1102,norris,0,soft,new
1102,norris,4,hard,new
1102,devries,0,medium,new
1102,devries,15,hard,new
1102,piastri,0,soft,new
1102,piastri,5,hard,new
1102,sargeant,0,medium,new
1102,sargeant,2,hard,new
1101,perez,0,medium,new
1101,perez,11,hard,new
1101,verstappen,0,medium,new
1101,verstappen,10,hard,new
1101,leclerc,0,medium,new
1101,leclerc,11,hard,new
1101,alonso,0,medium,used
1101,alonso,11,hard,used
1101,sainz,0,medium,new
1101,sainz,11,hard,new
1101,ham,0,medium,new
1101,ham,9,hard,new
1101,stroll,0,medium,used
1101,stroll,11,hard,used
1101,russell,0,medium,new
1101,russell,11,hard,new
1101,russell,49,soft,new
1101,norris,0,medium,new
1101,norris,9,hard,new
1101,tsunoda,0,medium,new
1101,tsunoda,8,hard,used
1101,piastri,0,medium,new
1101,piastri,8,hard,new
1101,albon,0,medium,new
1101,albon,7,hard,new
1101,magnussen,0,medium,new
1101,magnussen,10,hard,new
1101,gasly,0,medium,new
1101,gasly,5,hard,new
1101,gasly,23,hard,new
1101,ocon,0,hard,new
1101,ocon,50,soft,new
1101,sargeant,0,medium,new
1101,sargeant,8,hard,new
1101,hulkenberg,0,hard,new
1101,hulkenberg,49,soft,new
1101,bot,0,medium,new
1101,bot,6,hard,new
1101,bot,12,hard,new
1101,bot,34,medium,new
1101,zhou,0,medium,new
1101,zhou,11,hard,new
1101,zhou,36,dnf,dnf
1101,devries,0,hard,used
1101,devries,9,dnf,dnf
1100,verstappen,0,medium,new
1100,verstappen,8,hard,new
1100,verstappen,55,soft,used
1100,verstappen,57,soft,used
1100,ham,0,medium,new
1100,ham,8,hard,new
1100,ham,55,soft,used
1100,ham,57,soft,used
1100,alonso,0,medium,used
1100,alonso,8,hard,new
1100,alonso,55,soft,used
1100,alonso,57,soft,used
1100,stroll,0,medium,used
1100,stroll,8,hard,new
1100,stroll,55,soft,used
1100,stroll,57,soft,used
1100,perez,0,hard,new
1100,perez,1,medium,used
1100,perez,2,hard,new
1100,perez,8,hard,used
1100,perez,55,soft,new
1100,perez,57,soft,new
1100,norris,0,medium,new
1100,norris,8,hard,new
1100,norris,55,soft,new
1100,norris,57,soft,used
1100,hulkenberg,0,medium,new
1100,hulkenberg,8,hard,new
1100,hulkenberg,55,soft,used
1100,hulkenberg,57,soft,used
1100,piastri,0,medium,new
1100,piastri,8,hard,new
1100,piastri,54,?,?
1100,piastri,55,soft,new
1100,piastri,57,soft,new
1100,zhou,0,soft,new
1100,zhou,1,hard,new
1100,zhou,54,?,?
1100,zhou,55,soft,new
1100,tsunoda,0,medium,new
1100,tsunoda,8,hard,new
1100,tsunoda,54,?,?
1100,tsunoda,55,soft,used
1100,tsunoda,57,soft,used
1100,bot,0,soft,new
1100,bot,1,hard,new
1100,bot,53,soft,new
1100,sainz,0,medium,used
1100,sainz,7,hard,new
1100,sainz,55,soft,used
1100,sainz,57,soft,used
1100,gasly,0,soft,new
1100,gasly,8,hard,new
1100,gasly,55,soft,used
1100,gasly,56,dnf,dnf
1100,ocon,0,soft,new
1100,ocon,1,hard,new
1100,ocon,55,soft,new
1100,ocon,56,dnf,dnf
1100,devries,0,hard,new
1100,devries,8,medium,new
1100,devries,45,soft,new
1100,devries,54,soft,used
1100,devries,56,dnf,dnf
1100,sargeant,0,hard,new
1100,sargeant,1,medium,used
1100,sargeant,2,hard,used
1100,sargeant,8,medium,new
1100,sargeant,36,hard,used
1100,sargeant,54,soft,new
1100,sargeant,56,dnf,dnf
1100,magnussen,0,medium,new
1100,magnussen,7,hard,new
1100,magnussen,52,dnf,dnf
1100,russell,0,medium,new
1100,russell,7,hard,new
1100,russell,17,dnf,dnf
1100,albon,0,medium,new
1100,albon,6,dnf,dnf
1100,leclerc,0,medium,new
1100,leclerc,0,dnf,dnf
1099,perez,0,medium,new
1099,perez,18,hard,new
1099,verstappen,0,medium,new
1099,verstappen,18,hard,new
1099,alonso,0,medium,new
1099,alonso,18,hard,used
1099,russell,0,medium,new
1099,russell,18,hard,new
1099,ham,0,hard,new
1099,ham,18,medium,new
1099,sainz,0,medium,new
1099,sainz,15,hard,new
1099,leclerc,0,soft,new
1099,leclerc,16,hard,new
1099,ocon,0,medium,new
1099,ocon,16,hard,new
1099,gasly,0,medium,new
1099,gasly,14,hard,new
1099,magnussen,0,medium,new
1099,magnussen,8,hard,new
1099,tsunoda,0,medium,new
1099,tsunoda,17,hard,new
1099,hulkenberg,0,medium,new
1099,hulkenberg,11,hard,new
1099,zhou,0,medium,new
1099,zhou,11,hard,new
1099,zhou,18,medium,new
1099,devries,0,medium,new
1099,devries,17,hard,new
1099,piastri,0,medium,new
1099,piastri,1,hard,new
1099,sargeant,0,hard,new
1099,sargeant,18,medium,new
1099,norris,0,soft,new
1099,norris,2,hard,new
1099,norris,19,medium,new
1099,bot,0,medium,new
1099,bot,9,hard,new
1099,bot,17,medium,new
1099,bot,35,soft,new
1099,albon,0,medium,new
1099,albon,17,hard,new
1099,albon,27,dnf,dnf
1099,stroll,0,medium,new
1099,stroll,13,hard,used
1099,stroll,16,dnf,dnf
1098,verstappen,0,soft,used
1098,verstappen,14,soft,used
1098,verstappen,36,hard,new
1098,perez,0,soft,used
1098,perez,17,soft,used
1098,perez,34,hard,new
1098,alonso,0,soft,used
1098,alonso,14,hard,new
1098,alonso,34,hard,new
1098,sainz,0,soft,used
1098,sainz,13,hard,new
1098,sainz,31,hard,new
1098,ham,0,soft,used
1098,ham,12,hard,new
1098,ham,30,hard,new
1098,stroll,0,soft,used
1098,stroll,15,hard,new
1098,stroll,30,hard,new
1098,russell,0,soft,used
1098,russell,13,hard,new
1098,russell,31,hard,new
1098,bot,0,soft,new
1098,bot,11,hard,new
1098,bot,29,hard,new
1098,gasly,0,soft,new
1098,gasly,9,hard,new
1098,gasly,25,hard,new
1098,gasly,40,soft,new
1098,albon,0,soft,new
1098,albon,11,soft,new
1098,albon,26,hard,new
1098,albon,40,soft,used
1098,tsunoda,0,soft,new
1098,tsunoda,10,hard,new
1098,tsunoda,26,hard,new
1098,tsunoda,40,soft,used
1098,sargeant,0,soft,new
1098,sargeant,12,soft,new
1098,sargeant,30,hard,new
1098,sargeant,40,soft,new
1098,magnussen,0,hard,new
1098,magnussen,15,hard,new
1098,magnussen,29,soft,new
1098,magnussen,40,soft,new
1098,devries,0,soft,new
1098,devries,11,hard,new
1098,devries,27,hard,new
1098,hulkenberg,0,soft,used
1098,hulkenberg,11,hard,new
1098,hulkenberg,26,hard,new
1098,hulkenberg,40,soft,used
1098,zhou,0,soft,new
1098,zhou,12,hard,new
1098,zhou,32,soft,used
1098,zhou,54,soft,used
1098,norris,0,soft,new
1098,norris,10,hard,new
1098,norris,17,soft,used
1098,norris,27,medium,new
1098,norris,37,hard,new
1098,norris,47,soft,used
1098,ocon,0,soft,used
1098,ocon,12,hard,new
1098,ocon,32,hard,new
1098,ocon,41,dnf,dnf
1098,leclerc,0,soft,new
1098,leclerc,13,hard,new
1098,leclerc,33,hard,new
1098,leclerc,39,dnf,dnf
1098,piastri,0,soft,new
1098,piastri,13,dnf,dnf
1096,verstappen,0,medium,new
1096,verstappen,20,hard,new
1096,leclerc,0,medium,new
1096,leclerc,21,hard,new
1096,perez,0,medium,new
1096,perez,15,hard,new
1096,perez,33,hard,new
1096,sainz,0,medium,new
1096,sainz,17,hard,new
1096,sainz,39,hard,new
1096,russell,0,medium,new
1096,russell,15,hard,new
1096,russell,39,medium,new
1096,norris,0,medium,new
1096,norris,15,hard,new
1096,norris,42,medium,new
1096,ocon,0,medium,new
1096,ocon,14,hard,new
1096,ocon,41,hard,new
1096,stroll,0,medium,new
1096,stroll,13,hard,used
1096,stroll,40,medium,used
1096,ricciardo,0,medium,new
1096,ricciardo,19,hard,new
1096,vettel,0,medium,new
1096,vettel,25,hard,used
1096,tsunoda,0,medium,new
1096,tsunoda,14,hard,new
1096,tsunoda,38,soft,new
1096,tsunoda,0,medium,new
1096,tsunoda,15,hard,new
1096,tsunoda,44,soft,new
1096,albon,0,medium,new
1096,albon,12,hard,new
1096,albon,35,medium,new
1096,gasly,0,soft,new
1096,gasly,14,hard,new
1096,bot,0,hard,new
1096,bot,30,medium,new
1096,schumacher,0,medium,new
1096,schumacher,14,hard,new
1096,schumacher,34,medium,used
1096,magnussen,0,hard,new
1096,magnussen,28,medium,new
1096,ham,0,medium,used
1096,ham,18,hard,new
1096,ham,55,dnf,dnf
1096,latifi,0,medium,new
1096,latifi,15,hard,new
1096,latifi,38,medium,new
1096,latifi,55,dnf,dnf
1096,alonso,0,medium,new
1096,alonso,19,hard,new
1096,alonso,27,dnf,dnf
1095,russell,0,soft,new
1095,russell,24,medium,new
1095,russell,49,soft,used
1095,ham,0,soft,new
1095,ham,29,medium,new
1095,ham,48,soft,used
1095,sainz,0,medium,new
1095,sainz,17,soft,new
1095,sainz,36,medium,new
1095,sainz,53,soft,used
1095,leclerc,0,medium,new
1095,leclerc,7,medium,new
1095,leclerc,21,soft,new
1095,leclerc,44,soft,used
1095,alonso,0,medium,new
1095,alonso,14,medium,new
1095,alonso,35,medium,new
1095,alonso,52,soft,new
1095,verstappen,0,soft,new
1095,verstappen,7,medium,new
1095,verstappen,23,soft,used
1095,verstappen,48,soft,new
1095,perez,0,soft,new
1095,perez,23,medium,new
1095,perez,47,medium,new
1095,ocon,0,soft,new
1095,ocon,24,medium,new
1095,ocon,47,soft,used
1095,bot,0,soft,used
1095,bot,24,medium,new
1095,bot,45,soft,new
1095,stroll,0,medium,used
1095,stroll,29,medium,used
1095,stroll,48,soft,used
1095,vettel,0,soft,new
1095,vettel,26,medium,used
1095,vettel,45,medium,used
1095,zhou,0,soft,used
1095,zhou,16,medium,new
1095,zhou,37,soft,new
1095,schumacher,0,medium,new
1095,schumacher,24,soft,used
1095,schumacher,46,soft,used
1095,gasly,0,soft,new
1095,gasly,19,medium,new
1095,gasly,35,soft,used
1095,gasly,52,medium,new
1095,albon,0,hard,new
1095,albon,4,medium,new
1095,albon,25,medium,new
1095,albon,47,medium,new
1095,latifi,0,medium,new
1095,latifi,20,hard,new
1095,latifi,32,medium,new
1095,latifi,52,soft,new
1095,tsunoda,0,medium,new
1095,tsunoda,20,soft,new
1095,tsunoda,40,soft,new
1095,tsunoda,54,medium,new
1095,norris,0,soft,new
1095,norris,24,medium,new
1095,norris,45,soft,used
1095,norris,50,dnf,dnf
1095,magnussen,0,medium,used
1095,magnussen,0,dnf,dnf
1095,ricciardo,0,soft,used
1095,ricciardo,0,dnf,dnf
1094,verstappen,0,soft,used
1094,verstappen,25,medium,new
1094,ham,0,medium,new
1094,ham,29,hard,new
1094,perez,0,soft,used
1094,perez,23,medium,new
1094,russell,0,medium,new
1094,russell,34,hard,new
1094,russell,69,soft,used
1094,sainz,0,soft,used
1094,sainz,29,medium,new
1094,leclerc,0,soft,used
1094,leclerc,28,medium,new
1094,ricciardo,0,medium,new
1094,ricciardo,44,soft,new
1094,ocon,0,medium,new
1094,ocon,33,hard,new
1094,norris,0,medium,new
1094,norris,31,hard,new
1094,bot,0,medium,new
1094,bot,39,hard,used
1094,gasly,0,medium,new
1094,gasly,40,soft,new
1094,albon,0,medium,new
1094,albon,38,soft,new
1094,zhou,0,medium,new
1094,zhou,45,soft,new
1094,vettel,0,soft,new
1094,vettel,38,medium,used
1094,stroll,0,medium,used
1094,stroll,17,soft,used
1094,stroll,40,soft,new
1094,schumacher,0,soft,used
1094,schumacher,24,medium,new
1094,magnussen,0,medium,new
1094,magnussen,38,soft,used
1094,latifi,0,soft,new
1094,latifi,23,hard,new
1094,latifi,52,soft,new
1094,alonso,0,medium,new
1094,alonso,40,hard,new
1094,alonso,63,dnf,dnf
1094,tsunoda,0,soft,new
1094,tsunoda,29,medium,new
1094,tsunoda,50,dnf,dnf
1093,verstappen,0,medium,new
1093,verstappen,13,hard,new
1093,verstappen,35,medium,new
1093,ham,0,medium,new
1093,ham,12,hard,new
1093,ham,34,hard,new
1093,leclerc,0,medium,new
1093,leclerc,18,hard,new
1093,leclerc,35,medium,new
1093,perez,0,medium,new
1093,perez,14,hard,new
1093,perez,38,medium,new
1093,russell,0,medium,new
1093,russell,13,hard,new
1093,russell,36,hard,new
1093,russell,54,soft,used
1093,norris,0,medium,new
1093,norris,14,hard,new
1093,norris,34,hard,new
1093,alonso,0,hard,new
1093,alonso,18,medium,new
1093,alonso,22,hard,new
1093,vettel,0,medium,used
1093,vettel,18,medium,used
1093,vettel,41,hard,used
1093,magnussen,0,hard,new
1093,magnussen,18,medium,new
1093,tsunoda,0,medium,new
1093,tsunoda,10,medium,new
1093,tsunoda,33,hard,new
1093,ocon,0,hard,new
1093,ocon,18,hard,new
1093,ocon,45,medium,new
1093,albon,0,medium,new
1093,albon,9,medium,new
1093,albon,18,hard,new
1093,zhou,0,medium,new
1093,zhou,9,hard,new
1093,zhou,23,hard,new
1093,gasly,0,medium,new
1093,gasly,11,hard,used
1093,gasly,32,hard,used
1093,schumacher,0,hard,new
1093,schumacher,10,medium,new
1093,schumacher,35,hard,new
1093,latifi,0,medium,new
1093,latifi,5,medium,new
1093,latifi,15,hard,new
1093,stroll,0,medium,used
1093,stroll,15,medium,used
1093,stroll,21,dnf,dnf
1093,bot,0,medium,new
1093,bot,10,hard,new
1093,bot,16,dnf,dnf
1093,sainz,0,medium,new
1093,sainz,3,dnf,dnf
1092,verstappen,0,inter,new
1092,verstappen,2,wet,new
1092,verstappen,7,inter,new
1092,perez,0,inter,new
1092,perez,2,wet,new
1092,perez,7,inter,new
1092,leclerc,0,inter,new
1092,leclerc,2,wet,new
1092,leclerc,7,inter,new
1092,ocon,0,inter,new
1092,ocon,2,wet,new
1092,ocon,7,inter,new
1092,ham,0,inter,used
1092,ham,2,wet,new
1092,ham,7,inter,used
1092,vettel,0,inter,new
1092,vettel,2,wet,new
1092,vettel,5,inter,new
1092,alonso,0,inter,new
1092,alonso,2,wet,new
1092,alonso,8,inter,new
1092,alonso,22,inter,new
1092,russell,0,inter,new
1092,russell,2,wet,new
1092,russell,7,inter,used
1092,latifi,0,inter,new
1092,latifi,2,wet,new
1092,latifi,5,inter,new
1092,norris,0,inter,new
1092,norris,2,wet,new
1092,norris,6,inter,new
1092,ricciardo,0,inter,new
1092,ricciardo,2,wet,new
1092,ricciardo,8,inter,new
1092,stroll,0,inter,new
1092,stroll,2,wet,new
1092,stroll,7,inter,new
1092,stroll,19,inter,new
1092,tsunoda,0,inter,new
1092,tsunoda,2,wet,new
1092,tsunoda,7,inter,new
1092,tsunoda,20,inter,new
1092,magnussen,0,inter,new
1092,magnussen,2,wet,new
1092,magnussen,7,inter,new
1092,bot,0,inter,new
1092,bot,2,wet,new
1092,bot,6,inter,new
1092,zhou,0,inter,new
1092,zhou,2,wet,new
1092,zhou,9,inter,new
1092,zhou,18,inter,new
1092,gasly,0,inter,new
1092,gasly,1,wet,new
1092,gasly,2,wet,new
1092,gasly,7,inter,new
1092,gasly,19,inter,new
1092,schumacher,0,inter,new
1092,schumacher,2,wet,new
1092,schumacher,11,inter,new
1092,albon,0,inter,new
1092,albon,0,dnf,dnf
1092,sainz,0,inter,new
1092,sainz,0,dnf,dnf
1091,perez,0,inter,new
1091,perez,35,medium,new
1091,leclerc,0,inter,new
1091,leclerc,34,medium,new
1091,sainz,0,inter,new
